X_mm,Y_mm,Z_mm,Nx,Ny,Nz,AngleDiff_deg,AngularVelocity_dps
180,4.04040404040404,43.8579598863583,0,0.271998203919231,0.962297759045875,NaN,NaN
180,12.1212121212121,41.64744071112,0,0.255938621231653,0.966693034092023,0.953996311279245,1.13873298381624
180,20.2020202020202,39.5814924824656,0,0.239808004839696,0.970820333952068,0.954001043853456,1.14378747178299
180,28.2828282828283,37.6582777864912,0,0.223611417669674,0.974678374587104,0.953970974026457,1.14846095873642
180,36.3636363636364,35.8761107905206,0,0.207351931208111,0.978266413930411,0.954024335691947,1.15289989127961
180,44.4444444444444,34.2334454791164,-0,0.191035841057361,0.981583061911475,0.953972760334488,1.15688054002037
180,52.5252525252525,32.7288719042825,-0,0.174665996382333,0.984627741691126,0.954019110818737,1.16065184540269
180,60.6060606060606,31.361111850327,-0,0.158248573593914,0.987399305729699,0.953969984182349,1.16398210318872
180,68.6868686868687,30.1290134489003,-0,0.14178655475334,0.989897253704231,0.954012088612124,1.16710165018423
180,76.7676767676768,29.0315509346397,-0,0.125285498304357,0.992120730513494,0.953996438991547,1.16983133781071
180,84.8484848484849,28.0678142760894,-0,0.108749924645741,0.994069139390991,0.953984016481885,1.17224790848255
180,92.9292929292929,27.2370124249214,-0,0.0921838489332034,0.99574200373182,0.954004399582821,1.1743899615159
180,101.010101010101,26.5384692844116,-0,0.0755923541164645,0.997138804780524,0.953996508453431,1.17618422941042
180,109.090909090909,25.9716191427795,-0,0.0589798856742554,0.998259171300646,0.953997498605849,1.1776779599394
180,117.171717171717,25.5360065834014,0,0.0423512042813885,0.999102785250805,0.953989584490033,1.17885050098932
180,125.252525252525,25.2312844796868,0,0.0257107928196878,0.99966942292569,0.953988969373875,1.17972286705937
180,133.333333333333,25.0572141584934,0,0.00906308432683147,0.999958929407846,0.953998674115492,1.1802995476768
180,141.414141414141,25.0136647024291,0,-0.00758716157954501,0.999971217075355,0.954000098214254,1.18055797762311
180,149.49494949495,25.1006105479337,0,-0.0242353162928667,0.999706281586839,0.954000797551267,1.18050765651195
180,157.575757575758,25.3181318546842,0,-0.040876394990332,0.999164210894583,0.953980312721809,1.1801231600355
180,165.656565656566,25.6664142518698,0,-0.0575067060682458,0.99834512006479,0.954012687289384,1.17949569002668
180,173.737373737374,26.1457558319255,0,-0.0741206653391502,0.997249280255284,0.953989202819726,1.17849009036306
180,181.818181818182,26.7565567717178,0,-0.0907140584578073,0.995876980152726,0.953988162203357,1.17720226399632
180,189.89898989899,27.4993288742897,0,-0.107282383024095,0.99422859056289,0.95399274671243,1.1756101475515
180,197.979797979798,28.3746965847213,0,-0.123821329319507,0.99230452906633,0.954013721146889,1.17372541600049
180,206.060606060606,29.3835493995183,0,-0.147019702297275,0.989133563850919,1.34155908437446,1.64739055661175
180,214.141414141414,30.6969939852707,0,-0.176800629093141,0.984246685314342,1.72920743138918,2.11217545301887
180,222.222222222222,32.4652397273895,0,-0.235850598870439,0.971789326455305,3.458307305568,4.1807338660474
180,230.30303030303,34.6488627748528,0,-0.270517382126615,0.962715090754977,2.05328845354136,2.45296375184753
180,238.383838383838,36.8597130495811,0,-0.252307196583556,0.967647187022288,1.08097411453684,1.29028595524386
180,246.464646464646,38.8918915441774,0,-0.234006925566614,0.972234929832734,1.08099062439335,1.2973310711267
180,254.545454545455,40.747920759415,0,-0.215623673937353,0.976476539010415,1.08097222817441,1.30375557262923
180,262.626262626263,42.4300864890325,0,-0.197164431856875,0.980370433464084,1.08092795165735,1.30957474594322
180,270.707070707071,43.9404247879014,0,-0.178632679788512,0.983915832635889,1.08106409771232,1.31504460521902
180,278.787878787879,45.2807729544485,0,-0.160039942160604,0.987110539358805,1.08091278274737,1.31960016819932
180,286.868686868687,46.4527340574133,0,-0.14138837803973,0.98995420427174,1.08102095008651,1.32391245607058
180,294.949494949495,47.4524183741799,0,-0.103942538505193,0.994583304047025,2.1619485552457,2.65517059601676
180,303.030303030303,48.2806982313255,0,-0.0851612344040105,0.996367183399165,1.08094856965984,1.33070182656131
180,311.111111111111,48.944537317462,0,-0.0663485744832936,0.997796505638316,1.0810085912666,1.33325686328391
180,319.191919191919,49.444671668242,0,-0.0475136338644022,0.998870589514477,1.08093191837821,1.33509859654372
180,327.272727272727,49.7816617688536,0,-0.0286602987396107,0.999589209263564,1.08101697984924,1.33659677931485
180,335.353535353535,49.9558744976301,0,-0.00979791040817887,0.999951999323784,1.08095115261415,1.33736629494292
180,343.434343434343,49.9675051171034,0,0.00906847756363567,0.999958880511933,1.0809805096163,1.33771199508006
180,351.515151515152,49.8165596850156,0,0.0279318981346198,0.999609828416366,1.08099543749082,1.33749853183352
180,359.59595959596,49.5028687314263,0,0.0467846227679397,0.998905000023757,1.08095221404818,1.33667160567749
180,367.676767676768,49.0260799844933,0,0.0656211467873498,0.99784460969347,1.0809781138786,1.33538798721048
180,375.757575757576,48.3856530411528,0,0.084434782786504,0.99642900773502,1.08100508818928,1.33356229217272
180,383.838383838384,47.5808696383929,0,0.10321752663129,0.994658806926334,1.0809568731284,1.33109912819531
180,391.919191919192,46.6108189102291,0,0.121963979938883,0.992534527156344,1.08098268673332,1.3281804276357
180,400,45.4743995666504,0,0.140666780163237,0.990056996823167,1.08096874145108,1.32466379527397
